latitude, longitude, hora, velocidade
-6.1229, -76.7105, 2022-09-06 10:57:10.318063, 26213.62525356373
-6.6538, -76.3277, 2022-09-06 10:57:20.804727, 27627.72498194856
-7.1844, -75.9439, 2022-09-06 10:57:31.294774, 27622.84769645683
-47.5999, -49.1373, 2022-09-06 12:46:08.565897, 3159.0001099947426
-47.8733, -48.208, 2022-09-06 12:46:19.670286, 27250.937264322187
-48.1265, -47.3115, 2022-09-06 12:46:30.268633, 27252.51560964496
-48.3719, -46.4057, 2022-09-06 12:46:40.837214, 27331.424826623188
-48.6094, -45.491, 2022-09-06 12:46:51.339201, 27500.452488360843
-48.8388, -44.5674, 2022-09-06 12:47:01.857443, 27456.52971489489
-49.0601, -43.635, 2022-09-06 12:47:12.419091, 27345.895280074266
-49.2731, -42.6942, 2022-09-06 12:47:22.917005, 27507.391383732647
-49.4776, -41.7449, 2022-09-06 12:47:33.435375, 27456.26156450217
-49.6735, -40.7875, 2022-09-06 12:47:43.937646, 27496.40544607317
-49.8607, -39.8221, 2022-09-06 12:47:54.422473, 27544.118282135336
-50.039, -38.849, 2022-09-06 12:48:04.907492, 27543.51989843817
-50.2084, -37.8687, 2022-09-06 12:48:15.417578, 27473.216179671745
-50.3687, -36.8813, 2022-09-06 12:48:25.951858, 27409.582767976874
-50.5198, -35.887, 2022-09-06 12:48:36.467299, 27461.19711857251
-50.6617, -34.8862, 2022-09-06 12:48:46.963880, 27512.161132822002
-50.8122, -33.735, 2022-09-06 12:48:59.017983, 27377.364792272703
-50.9338, -32.7216, 2022-09-06 12:49:09.568598, 27368.726197692922
-51.0508, -31.6541, 2022-09-06 12:49:20.231373, 28373.200843259692
-51.1526, -30.6302, 2022-09-06 12:49:30.804994, 27309.22711166112
-51.2446, -29.6018, 2022-09-06 12:49:41.331752, 27430.632254401615
-51.3267, -28.5692, 2022-09-06 12:49:51.850040, 27455.754320939042
-51.399, -27.5332, 2022-09-06 12:50:02.393353, 27384.99746044596
-51.472, -26.2956, 2022-09-06 12:50:15.039776, 27182.58759121825
-51.5223, -25.2531, 2022-09-06 12:50:25.530158, 27525.977296775993
-51.5626, -24.2082, 2022-09-06 12:50:36.036087, 27491.556395192758
-51.5928, -23.1619, 2022-09-06 12:50:46.535628, 27500.639457593046
-51.6129, -22.1144, 2022-09-06 12:50:57.043132, 27479.583647663123
-51.6228, -21.066, 2022-09-06 12:51:07.568824, 27436.682286098
-51.6226, -20.0176, 2022-09-06 12:51:18.073331, 27485.9000925484
-51.6122, -18.9693, 2022-09-06 12:51:28.563869, 27526.600538010694
